time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/entropy_loss
436,1,37,1016384,,,,,,,,,,
51,2,639,1032768,610,0.9841920658946037,0.10596059,0.2,0.18589666690095327,-0.04800350105479083,0.00045382254675702425,0.40003662109375,-0.013995878398418427,-1.0345312891993672
39,3,1241,1049152,620,0.9760840814560652,0.107236005,0.2,0.250801838823827,-0.049938291387297794,0.00045382254675702425,0.400299072265625,-0.0250394269824028,-1.0265392090659589
35,4,1844,1065536,630,0.956761546432972,0.10521114,0.2,0.2672990834398661,-0.05122558487528295,0.00045382254675702425,0.3960205078125,-0.034766785800457,-1.0489497371017933
32,5,2499,1081920,640,0.9557450041174889,0.10127053,0.2,0.2661521772679407,-0.045530868077185004,0.00045382254675702425,0.353131103515625,-0.025527983903884888,-0.9067862045951187
31,6,3121,1098304,650,0.9773136898875237,0.09069938,0.2,0.252647166501265,-0.04603623991461063,0.00045382254675702425,0.3330810546875,-0.0016266629099845886,-0.8297013168223202
30,7,3721,1114688,660,0.976968627423048,0.09066415,0.2,0.2772975444095209,-0.043056322715710846,0.00045382254675702425,0.347296142578125,-0.00719095766544342,-0.8950925030279905
30,8,4319,1131072,670,0.9799096509814262,0.093731485,0.2,0.30371848556096664,-0.037831765698138044,0.00045382254675702425,0.37705078125,-0.015563026070594788,-0.9255036796443165
29,9,4915,1147456,680,0.9757420383393764,0.10470633,0.2,0.36450438174651933,-0.04093188000915689,0.00045382254675702425,0.399884033203125,0.007365994155406952,-1.0058613309636713
29,10,5513,1163840,690,0.974212072789669,0.11163585,0.2,0.32958284923806785,-0.045044280241563685,0.00045382254675702425,0.425909423828125,0.07321467995643616,-1.0702029650565237
29,11,6108,1180224,700,0.9729965962469578,0.117771864,0.2,0.2637124412634876,-0.047797534319397525,0.00045382254675702425,0.42197265625,0.05299410969018936,-1.0543068231549113
29,12,6702,1196608,710,0.9782710839062929,0.09673509,0.2,0.24725266575696878,-0.04574598025192245,0.00045382254675702425,0.3961669921875,-0.06032055243849754,-0.9575042148586362
29,13,7299,1212992,720,0.9712471570819616,0.09607549,0.2,0.3328082805441227,-0.04303352836323029,0.00045382254675702425,0.373382568359375,0.02226843684911728,-0.9429861373733729
29,14,7892,1229376,730,0.9711252674460411,0.10526258,0.2,0.272567707055714,-0.05113241605649819,0.00045382254675702425,0.38424072265625,0.013259872794151306,-0.9282709897495807
